Key	Type	Desc	Português [c0]
Conditions/StackedCritChance	Text		{0}% de chance de acerto crítico
Conditions/StarvingDamageDecrease	Text		{0}% de dano reduzido por fome
Conditions/StarvingHealthDecrease	Text		{0}% de vida máxima reduzida devido à fome
Conditions/StarvingMovementSpeedDecrease	Text		{0}% de velocidade de movimento por fome
Conditions/StrongerWellFedBuffs	Text		Buffs bem alimentados são {0}% mais fortes
Conditions/Stunned	Text		Atordoado
Conditions/Suffocating	Text		sufocante
Conditions/ThornsDamage	Text		{0} espinhos de dano
Conditions/ThornsDamageAddedToMeleeAndRange	Text		O dano de seus espinhos é adicionado ao seu dano corpo a corpo e alcance
Conditions/ToolDurabilityLastsLonger	Text		{0}% de chance de não perder durabilidade ao usar ferramentas e armas
Conditions/VisibleOreDistanceIncrease	Text		{0} ladrilhos visíveis à distância do minério
Conditions/WellFedBuffsThresholdReduction	Text		Buffs bem alimentados são obtidos com {0}% menos de comida
Conditions/WellFedDamageIncrease	Text		{0}% de dano aumentado por ser bem alimentado
Conditions/WellFedHealthIncrease	Text		{0}% de aumento da saúde máxima por estar bem alimentado
Conditions/WellFedMovementSpeedIncrease	Text		{0}% de velocidade de movimento por estar bem alimentado
ControlMapper/A4	Text		A4
ControlMapper/A4S	Text		A4S
ControlMapper/A5	Text		A5
ControlMapper/A5S	Text		A5S
ControlMapper/AccelerateVehicle	Text		Acelerar veículo
ControlMapper/B4	Text		B4
ControlMapper/B5	Text		B4
ControlMapper/C4	Text		C4
ControlMapper/C4S	Text		CS4
ControlMapper/C5	Text		C5
ControlMapper/C5S	Text		C5S
ControlMapper/D4	Text		D4
ControlMapper/D4S	Text		DS4
ControlMapper/D5	Text		D5
ControlMapper/D5S	Text		D5S
ControlMapper/DefaultCategory	Text		Predefinido
ControlMapper/DropSelectedItem	Text		Soltar item para o mundo
ControlMapper/E4	Text		E4
ControlMapper/E5	Text		45
ControlMapper/EquipSlot1	Text		Equipar slot 1
ControlMapper/EquipSlot10	Text		Equipar slot 10
ControlMapper/EquipSlot2	Text		Equipar slot 2
ControlMapper/EquipSlot3	Text		Equipar slot 3
ControlMapper/EquipSlot4	Text		Equipar slot 4
ControlMapper/EquipSlot5	Text		Equipar slot 5
ControlMapper/EquipSlot6	Text		Equipar slot 6
ControlMapper/EquipSlot7	Text		Equipar slot 7
ControlMapper/EquipSlot8	Text		Equipar slot 8
ControlMapper/EquipSlot9	Text		Equipar slot 9
ControlMapper/F4	Text		F4
ControlMapper/F4S	Text		F4S
ControlMapper/F5	Text		F5
ControlMapper/F5S	Text		F5S
ControlMapper/G4	Text		G4
ControlMapper/G4S	Text		G4S
ControlMapper/G5	Text		G5
ControlMapper/G5S	Text		G5S
ControlMapper/GameCancel	Text		Perto
ControlMapper/GameConfirm	Text		Confirmar opção
ControlMapper/GameInteract	Text		Ataque
ControlMapper/GameMenu	Text		Menu aberto
ControlMapper/GameNextItem	Text		Equipar próximo item
ControlMapper/GamePreviousItem	Text		Equipar item anterior
ControlMapper/GameSecondInteract	Text		Usar item
ControlMapper/GameX	Text		Eixo X do joystick esquerdo
ControlMapper/GameY	Text		Eixo Y do joystick esquerdo
ControlMapper/Honk	Text	 Buzina do veículo	
ControlMapper/MapPing	Text		Mapa de ping
ControlMapper/MenuDown	Text		Interface para baixo
ControlMapper/MenuLeft	Text		Interface para esquerda
ControlMapper/MenuRight	Text		Interface para direita
ControlMapper/MenuUp	Text		Interface para cima
ControlMapper/MoveBackward	Text		Mover para trás
ControlMapper/MoveForward	Text		Siga em frente
ControlMapper/MoveLeft	Text		Vire à esquerda
ControlMapper/MoveRight	Text		Mover para a direita
ControlMapper/MoveUp	Text		Siga em frente
ControlMapper/MusicInstrumentCategory	Text		Instrumento
ControlMapper/ObjectInteract	Text		Interagir com o objeto
ControlMapper/OctaveChange	Text		Aumentar a oitava no controlador
ControlMapper/OpenChat	Text		chat aberto
ControlMapper/PickUp10	Text		Pegue / largue 10 itens
ControlMapper/PickUpAllItems	Text		Pegue / largue todos os itens
ControlMapper/PickUpHalf	Text		Pegue/deixe metade do valor total do item
ControlMapper/PickUpItems	Text		Pegar/soltar item
ControlMapper/QuickMoveItems	Text		Mover item para outro inventário ou equipar
ControlMapper/QuickStack	Text		Mover itens já existentes para o armazenamento
ControlMapper/QuickSwapTorch	Text		Troque para a tocha temporariamente
ControlMapper/ReverseVehicle	Text		veículo de ré
ControlMapper/RightJoyStickX	Text		Eixo X do joystick direito
ControlMapper/RightJoyStickY	Text		Eixo Y do joystick direito
ControlMapper/RightJoystickBack	Text		Joystick direito para trás
ControlMapper/RightJoystickForward	Text		Joystick direito para a frente
ControlMapper/RightJoystickLeft	Text		Joystick direito esquerdo
ControlMapper/RightJoystickRight	Text		Joystick direito direito
ControlMapper/Rotate	Text	 Girar	
ControlMapper/Sort	Text		Classificar inventário
ControlMapper/SplitStack	Text		Pilha de itens divididos
ControlMapper/StopPlayingInstrument	Text		Parar de jogar
ControlMapper/ToggleInventory	Text		Alternar inventário
ControlMapper/ToggleMap	Text		Alternar mapa
ControlMapper/ToggleSpectatedPlayer	Text	Toggles which player is being spectated. Can be used after dying as hard core character.	Alternar jogador assistido
ControlMapper/ToggleUI	Text		Alternar interface do usuário no jogo
ControlMapper/TrashItem	Text		Item selecionado na lixeira
ControlMapper/UIInteract	Text		IU interagir
ControlMapper/UIModifierKeys	Text		Modificadores de interface do usuário do inventário, usados ​​em conjunto com ações de pegar/soltar itens
ControlMapper/UISecondInteract	Text		Segunda interação da IU
ControlMapper/UseOffHand	Text		Use fora de mão
ControlMapper/ZoomInMap	Text		Zoom no mapa
ControlMapper/ZoomOutMap	Text		Reduzir o mapa
ControlMapper/actionColumnLabel	Text		Ações
ControlMapper/add	Text		Adicionar
ControlMapper/alt	Text		Alt
ControlMapper/assignControllerButtonLabel	Text		Atribuir Controlador
ControlMapper/assignControllerWindowMessage	Text		Pressione qualquer botão ou mova um eixo no controlador que voce gostaria de usar.
ControlMapper/assignControllerWindowTitle	Text		Escolha o controlador
ControlMapper/assignedControllersGroupLabel	Text		Controladores atribuídos:
ControlMapper/calibrateAxisStep1WindowMessage	Text		Centralize ou coloque em zero {0} e pressione qualquer botão ou espere o cronômetro terminar.
ControlMapper/calibrateAxisStep1WindowTitle	Text		Calibrar Zero
ControlMapper/calibrateAxisStep2WindowMessage	Text		Mova {0} por todo o alcance e pressione qualquer botão ou espere o cronômetro terminar.
ControlMapper/calibrateAxisStep2WindowTitle	Text		Calibrar Faixa
ControlMapper/calibrateControllerButtonLabel	Text		Calibrar
ControlMapper/calibrateControllerWindowTitle	Text		Calibrar controlador
ControlMapper/calibrateWindow_calibrateButtonLabel	Text		Calibrar
ControlMapper/calibrateWindow_deadZoneSliderLabel	Text		Zona morta:
ControlMapper/calibrateWindow_invertToggleLabel	Text		Invertido
ControlMapper/calibrateWindow_sensitivitySliderLabel	Text		Sensibilidade:
ControlMapper/calibrateWindow_zeroSliderLabel	Text		Zero:
ControlMapper/command	Text		Comando
ControlMapper/control	Text		Ao controle
ControlMapper/controllerAssignmentConflictWindowMessage	Text	{0} = Joystick Name, {1} = Other Player Name, {2} = This Player Name	{0} já está atribuído a {1}. Em vez disso, voce deseja atribuir este controlador a {2}?
ControlMapper/controllerAssignmentConflictWindowTitle	Text		Atribuição do Controlador
ControlMapper/controllerColumnLabel	Text		Controlador
ControlMapper/controllerSettingsGroupLabel	Text		Controlador:
ControlMapper/default	Text		Predefinição
ControlMapper/doneButtonLabel	Text		Feito
ControlMapper/elementAlreadyInUseBlocked	Text		{0} já está em uso não pode ser substituído.
ControlMapper/elementAlreadyInUseCanReplace	Text		{0} já está em uso. Quer substituir?
ControlMapper/elementAlreadyInUseCanReplace_conflictAllowed	Text		{0} já está em uso. Quer substituir? Voce também pode optar por adicionar a atribuição de qualquer maneira.
ControlMapper/elementAssignmentConflictWindowMessage	Text		Conflito de atribuição
ControlMapper/elementAssignmentPrePollingWindowMessage	Text		Primeiro centralize ou zere todos os manípulos e eixos e pressione qualquer botão ou espere o cronômetro terminar.
ControlMapper/inputBehaviorSettingsButtonLabel	Text		Sensibilidade
ControlMapper/inputBehaviorSettingsWindowTitle	Text		Sensibilidade
ControlMapper/joystickElementAssignmentPollingWindowMessage	Text		Agora pressione um botão ou mova um eixo para atribuí-lo a {0}.
ControlMapper/joystickElementAssignmentPollingWindowMessage_fullAxisFieldOnly	Text		Agora mova um eixo para atribuí-lo a {0}.
ControlMapper/keyboardColumnLabel	Text		Teclado
ControlMapper/keyboardElementAssignmentPollingWindowMessage	Text		Pressione uma tecla para atribuí-la a {0}. Teclas modificadoras também podem ser usadas. Para atribuir apenas uma tecla modificadora, mantenha-a pressionada por 1 segundo.
ControlMapper/mapCategoriesGroupLabel	Text		Categorias:
ControlMapper/mouseAssignmentConflictWindowMessage	Text		O mouse já está atribuído a {0}. Em vez disso, deseja atribuir o mouse a {1}?
ControlMapper/mouseAssignmentConflictWindowTitle	Text		Atribuição do mouse
ControlMapper/mouseColumnLabel	Text		Rato
ControlMapper/mouseElementAssignmentPollingWindowMessage	Text		Pressione um botão do mouse ou mova um eixo para atribuí-lo a {0}
ControlMapper/mouseElementAssignmentPollingWindowMessage_fullAxisFieldOnly	Text		Mova um eixo para atribuí-lo a {0}.
ControlMapper/none	Text		Nenhum
ControlMapper/okay	Text		Ok
ControlMapper/playersGroupLabel	Text		Jogadoras:
ControlMapper/remove	Text		Remover
ControlMapper/removeControllerButtonLabel	Text		Remover
ControlMapper/restoreDefaultsButtonLabel	Text		Restaurar padrões
ControlMapper/restoreDefaultsWindowMessage_multiPlayer	Text		Isso restaurará a configuração de entrada padrão para todos os jogadores. Voce tem certeza de que quer fazer isso?
ControlMapper/restoreDefaultsWindowMessage_onePlayer	Text		Isso restaurará a configuração de entrada padrão. Voce tem certeza de que quer fazer isso?
ControlMapper/restoreDefaultsWindowTitle	Text		Restaurar padrões
ControlMapper/separator	Text		 +
ControlMapper/settingsGroupLabel	Text		Definições:
ControlMapper/shift	Text		Mudança
ControlMapper/swap	Text		Troca
CookFoodToDiscover	Text		Cozinhe alimentos para começar a descobrir receitas
CooldownMin	Text		{0} min de recarga
CooldownMinSec	Text		{0} min {1} seg cooldown
CooldownSec	Text		{0} segundos de recarga
Credits/AdditionalProductionSupport	Text		Suporte Adicional de Produção
Credits/Animation	Text		Animação
Credits/Art	Text		Arte
Credits/AssociateProductManager	Text		Gerente de Produto Associado
Credits/CEO	Text		CEO
Credits/COO	Text		COO
Credits/CommunityManager	Text		gerente da comunidade
Credits/CompatibilityTesting	Text		Teste de compatibilidade
Credits/CoreKeeper	Text		Guardião do Núcleo
Credits/CreativeDirector	Text		Diretor criativo
Credits/DevelopedBy	Text		Desenvolvido por
Credits/DevelopmentDirector	Text		Diretor de desenvolvimento
Credits/FinanceDirector	Text		Diretor de Finanças
Credits/FinanceTeam	Text		Equipe Financeira
Credits/GameDesign	Text		Design de jogo
Credits/GameplayDirector	Text		Diretor de jogo
Credits/HeadofProductMarketing	Text		Head de Marketing de Produto
Credits/LeadAnimator	Text		Animador principal
Credits/LeadArtist	Text		Artista principal
Credits/LeadRenderingProgrammer	Text		Programador de Renderização de Leads
Credits/Localisation	Text		Localização
Credits/MarketingDirector	Text		Diretor de marketing
Credits/MarketingMaterial	Text		Material de marketing
Credits/Music	Text		Música
Credits/OurAmazingModTeam	Text		Nossa Incrível Equipe de Mods
Credits/PCFQA	Text		PC FQA
Credits/PRAndCommunications	Text		Relações Públicas e Comunicações
Credits/ProductManager	Text		gerente de produto
Credits/ProductionAssistant	Text		Assistente de produção
Credits/Programming	Text		Programação
Credits/PublishedBy	Text		Publicado por
Credits/ReleaseManager	Text		Gerente de Liberação
Credits/SFX	Text		SFX
Credits/SalesDirector	Text		Diretor de vendas
Credits/SalesManager	Text		Gerente de vendas
Credits/SeniorProducer	Text		Produtor Senior
Credits/SeventyOneConsulting	Text		71 Consultoria
Credits/SocialMediaAndCommunityManager	Text		Gerente de Mídias Sociais e Comunidade
Credits/SpecialThanks	Text		Agradecimentos especiais
Credits/TechnicalDirector	Text		Diretor técnico
Credits/ThaiFont	Text		fonte tailandesa
Credits/UserTesting	Text		Teste de usuário
Credits/Writing	Text		Escrita
CreditsNames/ACE	Text		ACE Agency
CreditsNames/AzurDawn	Text		AzurDawn
CreditsNames/Beach	Text		Beach
CreditsNames/BridieDaniels	Text		Bridie Daniels
CreditsNames/Cedric	Text		Cedric
CreditsNames/ChrisGlover	Text		Chris Glover
CreditsNames/DanielPereira	Text		Daniel Pereira
CreditsNames/DanieldeKretser	Text		Danielde Kretser
CreditsNames/DaveScammell	Text		Dave Scammell
CreditsNames/DavidLindqvist	Text		David Lindqvist
CreditsNames/DavidWalker	Text		David Walker
CreditsNames/Enchae	Text		Enchae
CreditsNames/Enzyme	Text		Enzyme
CreditsNames/FelixWestin	Text		Felix Westin
CreditsNames/Fireshine	Text		Fireshine Games
CreditsNames/FredrikPrantare	Text		Fredrik Präntare
CreditsNames/FriendsAndFamily	Text		Friends and Families
CreditsNames/GarryWilliams	Text		Garry Williams
CreditsNames/Genos	Text		Genos
CreditsNames/JamesCato	Text		James Cato
CreditsNames/JasonMan	Text		Jason Man
CreditsNames/JohannesAhlström	Text		Johannes Ahlström
CreditsNames/JonathanGeer	Text		Jonathan Geer
CreditsNames/JulianBird	Text		Julian Bird
CreditsNames/JulianSeifertOlszewski	Text		Julian Seifert-Olszewski
CreditsNames/Karillya	Text		Karillya
CreditsNames/KeywordsIndia	Text		Keywords India
CreditsNames/Kittco36	Text		Kittco36
CreditsNames/LeeOni	Text		Lee~ (Oni)
CreditsNames/MarkInman	Text		Mark Inman
CreditsNames/MaxHallden	Text		Max Halldén
CreditsNames/MegSpencer	Text		Meg Spencer
CreditsNames/MrVilo	Text		Mr Vilo
CreditsNames/Nebur7420	Text		Nebur7420
CreditsNames/NickPayne	Text		Nick Payne
CreditsNames/Omnimetatron	Text		Omnimetatron
CreditsNames/OskarTengvall	Text		Oskar Tengvall
CreditsNames/Pugstorm	Text		Pugstorm AB
CreditsNames/RicardoCruzFarah	Text		Ricardo Cruz Farah
CreditsNames/SamMckie	Text		Sam Mckie
CreditsNames/SarahHoeksma	Text		Sarah Hoeksma
CreditsNames/SeanCampbell	Text		Sean Campbell
CreditsNames/SvenThole	Text		Sven Thole
CreditsNames/Testify	Text		Testify
CreditsNames/Testronic	Text		Testronic
CreditsNames/ThomasLumeau	Text		Thomas Lumeau
CreditsNames/TinaMoore	Text		Tina Moore
CreditsNames/TonyEvans	Text		Tony Evans
CreditsNames/VincentCoates	Text		Vincent Coates
CreditsNames/ohCreative	Text		ohCreative
DemoVersion	Text	{0} will be replaced by the version number	{0} Versão de demonstração
DontOverrideSeason	Text		Não substitua a temporada
EarlyAccess	Text		Acesso antecipado
EarlyAccessVersion	Text	{0} will be replaced by the version number	{0} Versão
Emotes/CantLeaveWhileItsMoving	Text	Character says this when riding a vehicle such as minecart or boat and tries to jump off while it is moving	Eu não posso sair enquanto ele está se movendo
Emotes/CantSleepWhenEnemiesNear	Text		Não consigo dormir quando os inimigos estão por perto
Emotes/IDontHaveTheRequiredComponents	Text		não tenho os componentes
Emotes/INeedADrillForThis	Text		preciso de uma furadeira para isso
Emotes/INeedBetterToolsForTheseWaters	Text	Means that player needs a better fishing rod or other means of fishing tools	Eu preciso de melhores ferramentas para essas águas
Emotes/IShouldEat	Text		eu deveria comer alguma coisa
Emotes/ImHungry	Text		estou com muita fome
Emotes/ItDoesntDoAnything	Text	Shown when trying to interact with something that does'nt work such as the Core when it is not powered up.	não faz nada
Emotes/ItsEmpty	Text	Used when for example the water can is empty	Está vazio
Emotes/ItsTooHardINeedADrill	Text		É muito difícil, preciso de uma furadeira
Emotes/LarvaEmote1	Text	Something the bigger larvas say when interacting with them while disguised as a larva	Com fome!
Emotes/LarvaEmote2	Text		Squeek
Emotes/LarvaEmote3	Text		Deve cavar
Emotes/LooksLikeItNeedsEnergy	Text	Energy refers to a building needing ancient electricity	Parece que precisa de energia
Emotes/MiningSkillTooLow	Text		Meu dano de mineração é muito baixo
Emotes/NeedAncientForge	Text		Eu devo estar na Forja Antiga
